incident_text,status
Smoke and flames visible from the second floor kitchen area,processing
Unknown person spotted in the building with a suspicious bag,new
Student having a seizure in the cafeteria,new
Student found unconscious in the bathroom,new
Suspicious person threatening students near the parking lot,new
Student collapsed during gym class and is not breathing,new
Unknown person spotted in the building with a suspicious bag,new
"Fire alarm triggered in the science lab, smell of burning chemicals",new
Teacher reported an injured student with heavy bleeding in the hallway,new
Security received a threat call about a weapon on campus,new
Flames spotted coming from the electrical room on the third floor,new
Intruder reported on school grounds refusing to leave,new
Armed individual reported near the main entrance,new
Staff member collapsed at their desk unresponsive,new
"Fire exit blocked by flames, students trapped on fourth floor",new
Multiple students reporting chest pain after a gas smell,new
Flames spotted coming from the electrical room on the third floor,new
Burning smell reported throughout the entire east wing,new
Lockdown requested by local police due to nearby incident,new
Small fire started in the chemistry lab during an experiment,new
"Hazardous chemical spill reported in the biology lab, students evacuating",new
